Seq;Md;Inc;Azi;Tvd
176;2722.4;90.13;349.17;1582.59
177;2729;90.16;349.6;1582.58
178;2732;90.17;349.8;1582.57
179;2735;90.22;349.99;1582.56
180;2738;90.16;350.19;1582.55
181;2741;90.17;350.38;1582.54
182;2747;90.13;350.77;1582.52
183;2752;90.15;351.1;1582.51
184;2755;90.18;351.29;1582.5
185;2758;90.19;351.48;1582.49
186;2761;90.19;351.66;1582.48
187;2764;90.42;351.85;1582.47
188;2767;90.34;352.04;1582.45
189;2770;90.36;352.23;1582.43
190;2773;90.21;352.42;1582.41
191;2776;90.19;352.6;1582.4
192;2780.9;90.14;352.91;1582.39
193;2784;90.18;353.2;1582.38
194;2787;90.18;353.48;1582.37
195;2790;90.28;353.76;1582.36
196;2793;90.17;354.04;1582.35
197;2796;90.1;354.33;1582.34
198;2799;90.2;354.61;1582.33
199;2802;90.22;354.89;1582.32
200;2805;90.35;355.17;1582.31
201;2809.9;90.35;355.63;1582.28
202;2813;90.3;355.79;1582.26
203;2816;90.35;355.94;1582.24
204;2819;90.36;356.1;1582.22
205;2822;90.32;356.25;1582.21
206;2825;90.37;356.4;1582.19
207;2828;90.3;356.56;1582.17
208;2831;90.05;356.71;1582.16
209;2834;89.84;356.86;1582.16
210;2838.4;89.43;357.09;1582.19
211;2842;89.08;357.26;1582.24
212;2845;88.69;357.41;1582.3
213;2848;88.47;357.55;1582.37
214;2851;88.21;357.69;1582.46
215;2854;87.91;357.84;1582.56
216;2857;87.61;357.98;1582.68
217;2860;87.28;358.12;1582.81
218;2863;87.01;358.27;1582.96
219;2866.8;86.67;358.45;1583.17
220;2870;86.57;358.69;1583.36
221;2873;86.55;358.91;1583.54
222;2876;86.59;359.13;1583.72
223;2879;86.55;359.35;1583.9
224;2882;86.52;-0.43;1584.08
225;2885;86.64;-0.21;1584.26
226;2888;86.72;0.01;1584.43
227;2891;86.84;0.23;1584.6
228;2895.9;87.23;0.59;1584.85
229;2899;87.4;0.84;1585
230;2902;87.58;1.09;1585.13
231;2905;87.92;1.34;1585.25
232;2908;88.15;1.58;1585.35
233;2911;88.48;1.83;1585.44
234;2914;88.76;2.07;1585.51
235;2917;89.03;2.32;1585.57
236;2920;89.19;2.57;1585.62
237;2925.3;89.72;3;1585.67
238;2932;90.18;3.83;1585.67
239;2935;90.35;4.2;1585.66
240;2938;90.53;4.57;1585.64
241;2941;90.74;4.95;1585.6
242;2944;90.92;5.32;1585.56
243;2947;91.2;5.69;1585.5
244;2950;91.43;6.06;1585.43
245;2954.8;91.75;6.66;1585.3
246;2958;91.99;7.05;1585.2
247;2961;92.18;7.42;1585.09
248;2964;92.37;7.8;1584.97
249;2967;92.5;8.17;1584.84
250;2970;92.7;8.54;1584.71
251;2982.8;92.67;10.13;1584.11
252;2986;92.71;10.41;1583.96
253;2989;92.69;10.67;1583.81
254;2992;92.65;10.93;1583.67
255;2995;92.33;11.19;1583.54
256;2998;92.06;11.45;1583.43
257;3001;91.96;11.71;1583.32
258;3004;91.92;11.97;1583.22
259;3007;91.93;12.23;1583.12
260;3012.9;91.94;12.74;1582.92
261;3016;91.95;12.95;1582.82
262;3019;91.94;13.15;1582.72
263;3022;91.93;13.36;1582.61
264;3025;91.92;13.56;1582.51
265;3031;91.51;13.97;1582.33
266;3034;91.15;14.17;1582.26
267;3037;90.92;14.38;1582.21
268;3040.9;90.43;14.64;1582.16
269;3044;90.35;14.86;1582.14
270;3047;90.35;15.07;1582.12
271;3050;90.31;15.27;1582.11
272;3053;90.33;15.48;1582.09
273;3056;90.34;15.69;1582.07
274;3059;90.35;15.9;1582.05
275;3062;90.35;16.11;1582.04
276;3065;90.33;16.32;1582.02
277;3070;90.39;16.67;1581.99
278;3073;90.3;16.89;1581.97
279;3076;90.35;17.12;1581.95
280;3079;90.29;17.34;1581.94
281;3082;90.36;17.57;1581.92
282;3085;90.32;17.79;1581.9
283;3088;90.49;18.01;1581.88
284;3091;90.6;18.24;1581.85
